yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, locality
1981-08-22, 21:25:54.4, 53.020, -1.160, , 1.4, , , ," NOTTINGHAM "
1981-08-23, 03:05:47.9, 56.580, -5.820, , 1.3, , , ," MORVERN "
1981-08-23, 03:30:33.2, 52.880, -2.630, , 1.3, , , ," WEM "
1981-08-24, 08:32:40.9, 55.180, -3.030, , 0.5, , , ," LANGHOLM "
1981-08-25, 12:05:58.4, 56.820, -3.420, 1.0, 0.5, , , ," GLEN SHEE "
1981-08-25, 19:16:22.9, 55.860, -3.140, 1.0, 1.0, , , ," ROSLIN GL C "
1981-08-29, 00:30:28.0, 55.910, -3.100, 3.0, 0.2, , , ," DANDERHALL C "
1981-08-29, 09:22:45.2, 55.870, -3.110, 1.0, 1.1, , , ," POLTON C "
1981-08-29, 09:24:31.0, 55.870, -3.100, 0, 0.7, , , ," POLTON C "
1981-08-30, 02:29:26.9, 55.870, -3.100, , -0.2, , , ," POLTON C "
1981-08-31, 10:15:02.6, 55.930, -3.070, , -0.3, , , ," MILLERHILL C "
1981-09-04, 06:20:17.0, 55.900, -3.080, 2.0, 0.5, , , ," SHERIFFHLL C "
1981-09-07, 03:28:22.3, 55.870, -3.070, , -0.1, , , ," LASSWADE C "
1981-09-07, 13:09:13.4, 53.080, -2.250, 4.0, 2.3, , , ," TALKE AREA "
1981-09-08, 18:09:34.2, 55.000, -1.100, , 1.8, , , ," OFF TYNEMTH "
1981-09-10, 12:10:19.0, 61.800, 2.600, , 2.4, , , ," NORTH SEA "
1981-09-10, 18:03:03.7, 55.870, -3.130, , 0.6, , , ," POLTON C "
1981-09-11, 00:19:38.9, 55.900, -3.110, , 0.8, , , ," LASSWADE C "
1981-09-12, 20:35:59.5, 56.000, -3.750, , 0.2, , , ," FALKIRK "
1981-09-12, 21:00:29.0, 53.070, -2.250, 4.0, 1.6, , , ," TALKE AREA "
1981-09-21, 12:48:47.5, 58.960, 1.510, 14.1, 2.4, , , ," NORTH SEA "
1981-09-22, 12:58:53.9, 53.040, -2.200, , 1.3, , , 3+ ," STOKE CLFD "
1981-09-24, 08:22:36.1, 56.120, -5.160, , 1.4, , , ," L. FYNE "
1981-09-24, 11:47:08.6, 53.080, -2.250, , 1.6, , , ," TALKE AREA "
1981-09-30, 01:31:25.2, 59.600, 1.500, , 1.0, , , ," NORTH SEA "
1981-09-30, 22:11:13.7, 56.280, -3.700, 8.0, 0.6, , , ," OCHIL HILLS "
1981-10-01, 02:34:00.0, 53.600, -1.190, , 1.8, , , ," DONCASTER "
1981-10-04, 17:47:11.9, 53.070, -2.260, , 2.2, , , ," TALKE AREA "
1981-10-05, 23:42:47.2, 55.880, -3.120, , -0.1, , , ," NEWBATTLE C "
1981-10-07, 14:14:03.0, 56.130, -3.620, , 1.4, , , ," SALINE C "
1981-10-08, 17:54:32.7, 56.120, -3.680, , 0.6, , , ," CLACKMANNN C "
1981-10-09, 09:39:37.8, 55.930, -3.090, 1.0, 0.8, , , ," NEWCGHALL C "
1981-10-11, 21:12:32.5, 55.930, -3.010, , -0.3, , , ," COUSLAND C "
1981-10-12, 19:44:22.4, 55.520, -3.070, 3.0, 1.0, , , ," ST MARYS LCH "
1981-10-13, 14:19:26.5, 55.860, -3.090, , 0.6, , , ," DALHOUSIE C "
1981-10-14, 06:55:28.8, 55.850, -3.140, 2.0, 0.9, , , ," ROSEWELL C "
1981-10-14, 06:58:39.5, 55.850, -3.140, 1.0, 1.0, , , ," ROSEWELL C "
1981-10-14, 06:59:00.8, 55.850, -3.140, , 0.9, , , ," ROSEWELL C "
1981-10-14, 06:59:27.1, 55.850, -3.140, 3.0, 1.2, , , ," ROSEWELL C "
1981-10-14, 19:11:12.2, 53.040, -2.200, 1.0, 1.5, , , ," STOKE CLFD "
1981-10-15, 10:41:40.2, 60.530, 2.330, 15.0, 1.9, , , ," NORTH SEA "
1981-10-16, 01:08:11.7, 56.140, -3.600, 2.0, 1.6, , , ," SALINE C "
1981-10-18, 16:08:39.2, 54.690, -1.660, , 2.5, , , ," B. AUKLAND "
1981-10-19, 19:55:40.0, 56.160, -3.710, , 0.3, , , ," TILLICTRY C "
1981-10-20, 19:53:22.3, 55.870, -3.150, 1.0, 0.0, , , ," ROSLIN C "
1981-10-22, 08:35:20.2, 55.860, -3.080, , 0.2, , , ," DALHOUSIE C "
1981-10-22, 11:40:48.3, 53.080, -2.260, 4.0, 1.8, , , ," TALKE AREA "
1981-10-23, 00:20:18.4, 55.930, -3.100, 0, 1.6, , , 4 ," NEWCGHALL C "
1981-10-23, 00:44:46.0, 57.240, -5.230, , 1.1, , , ," KINTAIL "
1981-10-23, 10:32:59.7, 55.910, -3.100, , 1.6, , , ," DANDERHALL C "
1981-10-23, 13:18:49.6, 56.130, -3.600, , 1.2, , , ," SALINE C "
1981-10-24, 10:59:25.6, 56.390, -4.000, 5.0, 1.8, , , 2 ," COMRIE "
1981-10-26, 04:43:38.6, 53.070, -2.270, 4.0, 1.2, , , ," TALKE AREA "
1981-10-26, 22:03:27.3, 54.170, 0.260, 28.8, 2.1, , , ," FLAMBOROUGH HD "
1981-10-27, 05:13:44.1, 54.150, 0.300, 23.7, 3.7, , , 3+ ," FLAMBOROUGH HD "
1981-10-29, 10:39:50.1, 61.830, 4.080, 17.2, 2.1, , , ," NORTH SEA "
1981-11-02, 20:53:38.4, 55.880, -3.110, , 0.2, , , ," LASSWADE C "
1981-11-04, 15:29:08.0, 55.850, -3.130, 0, 0.5, , , ," ROSEWELL C "
1981-11-04, 19:55:58.9, 55.850, -3.130, 2.0, 0.3, , , ," ROSEWELL C "
1981-11-05, 01:19:44.7, 57.030, -5.450, , 0.9, , , ," KNOYDART "
1981-11-05, 01:31:17.2, 56.350, -5.740, , 1.3, , , ," FTH OF LORN "
1981-11-05, 01:31:57.9, 57.020, -5.160, , 1.8, , , ," L. QUOICH "
1981-11-05, 07:41:50.0, 56.260, -3.280, , 0.4, , , ," LOMOND HILLS "
1981-11-05, 17:22:03.7, 55.840, -3.150, , 0.2, , , ," ROSEWELL C "
1981-11-06, 04:11:25.4, 55.900, -3.030, , -0.1, , , ," DALKEITH C "
1981-11-06, 11:29:35.1, 55.850, -3.130, 2.0, 0.7, , , ," ROSEWELL C "
1981-11-06, 12:39:58.1, 50.110, -5.190, 6.0, 0.7, , , ," CONSTANTINE "
1981-11-06, 13:59:40.8, 56.770, -5.010, 9.0, 1.5, , , ," GLEN NEVIS "
1981-11-06, 15:21:20.7, 55.170, -2.840, , 1.2, , , ," LIDDESDALE "
1981-11-06, 17:13:22.1, 59.730, 1.810, 15.0, 1.9, , , ," NORTH SEA "
1981-11-09, 03:09:00.0, 51.650, -2.980, , -1.9, , , ," CWMBRAN "
1981-11-09, 03:10:00.0, 51.650, -2.980, , 2.7, , , 3+ ," CWMBRAN "
1981-11-09, 04:20:00.0, 51.650, -2.980, , 2.1, , , 3+ ," CWMBRAN "
1981-11-09, 04:35:17.0, 56.690, -4.230, , 1.5, , , ," L.RANNOCH "
1981-11-09, 13:03:09.4, 52.090, -3.000, , 0.1, , , ," HAY ON WYE "
1981-11-10, 02:37:17.4, 55.850, -3.120, 2.0, 0.5, , , ," ROSEWELL C "
1981-11-10, 17:53:56.9, 55.840, -3.130, , 0.7, , , ," ROSEWELL C "
1981-11-11, 08:31:59.7, 55.840, -3.130, 2.0, 0.2, , , ," ROSEWELL C "
1981-11-11, 16:22:42.9, 56.140, -3.580, , 1.3, , , ," DOLLAR C "
1981-11-12, 18:08:15.6, 55.840, -3.140, , 0.5, , , ," ROSEWELL C "
1981-11-12, 18:34:30.6, 57.510, -4.910, , 1.5, , , ," ACHNASHEEN "
1981-11-13, 12:24:03.2, 56.110, -3.630, , 0.1, , , ," CLACKMANNN C "
1981-11-13, 15:42:52.1, 55.840, -3.200, , -0.4, , , ," PENICUIK C "
1981-11-13, 15:43:38.5, 55.850, -3.140, , 0.4, , , ," ROSEWELL C "
1981-11-13, 17:17:42.1, 55.870, -3.140, , -0.2, , , ," POLTON C "
1981-11-16, 17:48:32.1, 56.930, -5.510, , 1.1, , , ," L.MORAR "
1981-11-16, 19:01:09.5, 55.850, -3.120, 2.0, 0.8, , , ," ROSEWELL C "
1981-11-17, 11:31:11.6, 55.840, -3.130, , 0.6, , , ," ROSEWELL C "
1981-11-17, 11:57:49.6, 55.910, -3.130, , 0.9, , , ," GILMERTON C "
1981-11-17, 14:31:00.0, 53.100, -2.200, , 2.2, , , 3+ ," STOKE CLFD "
1981-11-18, 02:34:41.7, 55.840, -3.140, 0, 0.7, , , ," ROSEWELL C "
1981-11-18, 15:58:02.2, 55.860, -3.090, , 0.2, , , ," LASSWADE C "
1981-11-18, 18:59:55.4, 62.570, 1.960, 15.0, 2.0, , , ," NORTH SEA "
1981-11-19, 01:34:39.3, 55.860, -3.100, , 0.3, , , ," DALHOUSIE C "
1981-11-19, 04:24:32.3, 55.880, -3.050, , 0.3, , , ," EASTHOUSES C "
1981-11-19, 17:37:57.1, 55.850, -3.120, 1.0, 1.0, , , ," ROSEWELL C "
1981-11-19, 22:07:01.7, 56.600, -5.800, , 1.6, , , ," SND OF MULL "
1981-11-20, 18:36:49.1, 55.890, -3.050, 0, 0.8, , , ," NEWBATTLE C "
1981-11-20, 22:24:52.3, 56.010, -4.590, , 1.6, , , ," BALLOCH "
1981-11-22, 13:43:19.6, 55.470, -3.400, , 1.0, , , ," TWEEDSMUIR "
1981-11-24, 03:15:55.0, 52.000, -8.170, , 2.1, , , ," MIDLETON (FELT) "
1981-11-24, 11:05:19.6, 55.850, -3.120, , 0.8, , , ," ROSEWELL C "
1981-11-25, 23:41:25.1, 55.860, -3.100, , 0.4, , , ," DALHOUSIE C "
1981-11-26, 01:11:02.4, 55.860, -3.140, 1.0, 1.8, , , ," ROSEWELL C "
1981-11-26, 20:02:31.8, 55.840, -3.120, , 0.6, , , ," ROSEWELL C "
1981-11-26, 21:44:50.4, 55.080, -2.740, 1.0, 1.7, , , 3 ," LONGTOWN "
1981-11-27, 06:01:45.1, 55.870, -3.090, , 0.2, , , ," LASSWADE C "
1981-11-27, 13:33:05.5, 55.150, -2.710, , 1.1, , , ," LIDDESDALE "
1981-11-28, 02:18:53.1, 56.190, -2.890, , 0.0, , , ," LARGO BAY "
1981-11-28, 06:35:28.8, 56.280, -4.490, 2.0, 1.9, , , ," LOCH KATRINE "
1981-11-29, 13:36:36.4, 55.880, -3.070, , 0.0, , , ," LASSWADE C "
1981-11-29, 18:14:36.3, 57.190, -5.520, , 1.4, , , ," KINTAIL "
1981-11-30, 11:01:57.1, 61.510, 1.970, 15.0, 3.1, , , ," NORTH SEA "
1981-12-01, 03:14:42.0, 56.690, -4.840, , 1.0, , , ," BLACKWR RES "
1981-12-02, 02:05:33.0, 55.840, -3.130, , 0.8, , , ," ROSEWELL C "
1981-12-02, 23:15:15.0, 50.100, -5.170, 5.0, -0.2, , , ," CONSTANTINE "
1981-12-03, 05:29:40.8, 55.840, -3.150, 2.0, 0.0, , , ," ROSEWELL C "
1981-12-04, 14:37:13.9, 50.110, -5.180, 6.0, 0.8, , , ," CONSTANTINE "
1981-12-10, 13:24:58.0, 50.110, -5.170, 6.0, -0.1, , , ," CONSTANTINE "
1981-12-12, 15:48:38.0, 51.800, -7.700, , 1.4, , , ," SOUTH OF DUNGARVAN "
1981-12-16, 17:56:43.7, 62.110, 1.850, 15.0, 1.9, , , ," NORTH SEA "
1981-12-21, 05:36:20.7, 50.110, -5.180, 6.0, 0.6, , , ," CONSTANTINE "
1981-12-21, 20:22:02.6, 55.920, -2.980, , 0.1, , , ," ELPHINSTNE C "
1981-12-21, 20:34:00.0, 55.850, -3.120, 0, 0.3, , , ," ROSEWELL C "
1981-12-22, 04:09:36.2, 55.850, -3.190, , -0.3, , , ," AUCHENDNNY C "
1981-12-22, 04:11:44.3, 55.850, -3.140, , -0.1, , , ," ROSEWELL C "
1981-12-22, 04:15:36.8, 53.080, -2.230, , 2.4, , , 3+ ," STOKE AREA "
1981-12-22, 05:20:54.0, 56.100, -3.110, , 0.0, , , ," KIRKALDY "
1981-12-22, 10:47:47.5, 55.840, -3.160, , 0.3, , , ," AUCHENDNNY C "
1981-12-22, 19:56:37.5, 55.850, -3.130, , 0.4, , , ," ROSEWELL C "
1981-12-23, 09:26:44.3, 55.780, -3.190, , 0.0, , , ," BILSTON C "
1981-12-24, 18:08:21.0, 55.920, -3.090, 1.0, 0.2, , , ," DANDERHALL C "
1981-12-24, 23:45:56.2, 50.110, -5.180, 7.0, -0.3, , , ," CONSTANTINE "
1981-12-26, 13:06:54.3, 55.810, -5.470, 3.0, 0.9, , , ," TARBERT "
1981-12-27, 15:36:24.2, 59.297, -2.679, 10.9, 2.6, , , ," ORKNEY ISLANDS "
1981-12-27, 17:35:00.0, 53.100, -2.200, , 1.6, , , ," STOKE AREA "
1981-12-31, 08:40:00.0, 53.100, -2.200, , 1.3, , , ," STOKE AREA "
1982-01-04, 03:18:40.8, 55.880, -3.090, , -0.2, , , ," LASSWADE C "
1982-01-04, 10:41:08.6, 55.920, -2.970, , 0.2, , , ," ELPHINSTNE C "
1982-01-06, 11:41:21.5, 56.110, -3.630, 0.2, 0.7, , , ," BLACK DEVON,FIFE "
1982-01-06, 15:45:30.6, 56.110, -3.650, 0.5, 0.8, , , ," BLACK DEVON,FIFE "
1982-01-07, 00:37:35.0, 55.900, -3.060, 6.0, -0.6, , , ," LEADBURN,LOTHIAN "
1982-01-07, 10:54:28.6, 56.150, -3.610, 7.3, 0.5, , , ," BLACK DEVON,FIFE "
1982-01-07, 15:37:09.6, 56.130, -3.710, 0.9, 0.5, , , ," BLACK DEVON,FIFE "
1982-01-07, 20:27:18.4, 55.860, -3.120, 10.7, 0.1, , , ," ROSEWELL,LOTHIAN "
1982-01-09, 19:48:31.5, 55.880, -3.060, 2.5, -0.4, , , ," BONNYRIGG,LOTHIAN "
1982-01-11, 19:13:52.6, 55.860, -3.080, 7.0, 0.1, , , ," GOREBRIDGE,LOTHIAN "
1982-01-12, 12:57:23.7, 55.520, -5.560, 2.1, 2.0, , , ," CAMPBELTOWN,ST`CLYDE "
1982-01-13, 09:03:05.4, 55.430, -5.480, 0.1, 1.5, , , ," KILBRANNAN SOUND "
1982-01-13, 11:47:55.7, 56.120, -3.640, 1.0, 0.7, , , ," BLACK DEVON,FIFE "
1982-01-13, 15:36:43.7, 56.120, -3.660, 1.0, 0.5, , , ," BLACK DEVON,FIFE "
1982-01-14, 04:00:49.2, 56.140, -3.590, 2.7, 1.3, , , ," BLACK DEVON,FIFE "
1982-01-14, 11:39:24.7, 56.220, -3.260, 1.5, 0.4, , , ," AUCHMUIR BR,FIFE "
1982-01-14, 15:34:29.5, 56.120, -3.610, 1.2, 0.9, , , ," NR BLAIRHALL,FIFE "
1982-01-19, 15:33:53.0, 56.100, -3.660, 1.0, 1.1, , , ," BLACK DEVON,FIFE "
1982-01-20, 07:42:04.6, 55.840, -3.120, 0.3, 0.8, , , ," NR ROSEWELL,LOTHIAN "
1982-01-20, 09:30:20.5, 55.340, -5.570, 2.3, 1.9, , , ," MACHARIOCH,KINTYRE "
1982-01-20, 10:56:04.5, 56.100, -3.600, 3.3, 0.6, , , ," BLAIRHALL,FIFE "
1982-01-20, 11:55:51.9, 56.190, -5.210, 8.7, 1.5, , , ," LOCH LEACANN,ARGYLL "
1982-01-24, 00:58:32.0, 52.200, -6.050, , 0.4, , , ," EAST OF CARNSORE POINT "
1982-01-24, 18:15:38.1, 50.260, -4.910, 13.4, 0.7, , , ," TREGONY,CORNWALL "
1982-01-24, 18:16:42.5, 50.260, -4.910, 14.1, -0.5, , , ," TREGONY,CORNWALL "
1982-01-24, 23:11:01.0, 52.200, -6.050, , 0.3, , , ," EAST OF CARNSORE POINT "
1982-01-27, 15:33:32.4, 56.130, -3.620, 5.8, 0.7, , , ," SALINE,FIFE "
1982-01-31, 16:25:25.9, 56.420, -4.360, 7.3, 1.7, , , ," SW OF KILLIN,TAYSIDE "
1982-01-31, 23:19:36.8, 55.870, -3.100, 5.9, -0.1, , , ," BONNYRIGG,LOTHIAN "
1982-02-02, 15:58:47.5, 56.140, -3.600, 12.8, 0.4, , , ," BLACK DEVON,FIFE "
1982-02-02, 21:09:35.5, 53.100, -1.030, 5.0, 1.8, , , ," FARNSFIELD,NOTTS "
1982-02-03, 09:40:31.0, 59.900, 4.800, , 2.3, , , ," NORWEGIAN COAST "
1982-02-03, 16:00:23.8, 56.130, -3.570, 0.5, 0.2, , , ," BALGONAR,FIFE "
1982-02-04, 19:19:16.8, 55.870, -3.220, 10.1, 0.1, , , ," PENICUIK,LOTHIAN "
1982-02-05, 20:11:35.2, 55.920, -3.100, 4.7, 0.0, , , ," DANDERHALL,LOTHIAN "
1982-02-05, 20:13:54.3, 55.940, -3.090, 1.5, 0.4, , , ," EDINBURGH "
1982-02-06, 04:50:40.5, 61.170, 4.210, 20.6, 1.9, , , ," NORTH SEA "
1982-02-06, 10:43:02.9, 56.100, -3.580, 8.5, 0.3, , , ," BLAIRHALL,FIFE "
1982-02-07, 01:36:00.0, 61.300, 4.300, , 2.5, , , ," NORTH SEA "
1982-02-07, 16:23:36.2, 57.020, -5.120, 2.4, 0.9, , , ," LOCH ARKAIG,HIGHLAND "
1982-02-07, 17:14:07.5, 57.010, -5.250, 10.7, 0.6, , , ," LOCH ARKAIG,HIGHLAND "
1982-02-08, 06:40:20.4, 57.240, -5.680, 2.0, 2.2, , , ," EASTERN SKYE,HIGHLAND "
1982-02-08, 08:50:59.2, 57.210, -5.810, 3.0, 1.3, , , ," EASTERN SKYE,HIGHLAND "
1982-02-08, 17:58:13.8, 55.910, -3.100, 1.5, 0.5, , , ," DANDERHALL,LOTHIAN "
1982-02-08, 18:19:08.5, 57.250, -5.730, 0.4, 0.8, , , ," EASTERN SKYE,HIGHLAND "
1982-02-09, 13:23:26.0, 59.900, 4.800, , 2.6, , , ," NORWEGIAN COAST "
1982-02-10, 10:14:40.7, 56.140, -3.700, 8.7, 0.5, , , ," BLACK DEVON,FIFE "
1982-02-10, 10:44:07.4, 55.900, -3.090, 8.7, 0.6, , , ," BONNYRIGG,LOTHIAN "
1982-02-13, 19:44:26.7, 55.910, -3.110, 7.3, 0.4, , , ," DANDERHALL,LOTHIAN "
1982-02-14, 16:18:53.2, 56.040, -4.990, 0.8, 1.2, , , ," LOCH ECK,STRATHCLYDE "
1982-02-15, 11:42:13.9, 52.800, -2.060, 11.5, 1.3, , , ," STAFFORD,STAFFS "
1982-02-15, 11:42:32.2, 56.130, -3.630, 2.7, 0.8, , , ," BLACK DEVON,FIFE "
1982-02-16, 07:34:06.2, 56.800, 0.200, , , , , ," NORTH SEA (EXP?) "
1982-02-16, 15:38:35.3, 53.160, -2.130, 0.0, 2.4, , , ," NR CONGLETON,CHESHIRE "
1982-02-23, 09:40:50.0, 60.100, 4.300, , 2.2, , , ," NORTH SEA "
1982-02-25, 14:05:04.2, 55.640, -3.180, 2.3, 1.3, , , ," PEEBLES,BORDERS "
1982-03-03, 16:49:27.0, 53.100, -1.020, 9.3, 2.2, , , ," FARNSFIELD,NOTTS "
1982-03-09, 03:19:37.9, 57.430, -5.350, 3.5, 1.4, , , ," NR STRATHCARRON,HIGHL "
1982-03-13, 05:58:38.0, 53.070, -1.060, 5.0, 1.7, , , ," OXTON,NOTTINGHAMSHIRE "
1982-03-17, 22:33:15.1, 61.890, 2.220, 10.6, 3.6, , , ," NORTH SEA "
1982-03-18, 16:58:24.4, 50.170, -3.610, 0.5, 2.1, , , ," OFF START POINT,CORN "
1982-03-19, 02:26:56.5, 55.610, -1.890, 0.5, 1.8, , , ," HOLBURN, N.UMBERLAND "
1982-03-24, 16:39:34.1, 54.100, 0.210, 0.0, 2.1, , , ," OFF FLAMBOURGH HEAD "
1982-04-02, 10:51:58.3, 53.200, -1.850, 0.0, 1.6, , , ," EARL STERNDALE,DERBY "
1982-04-02, 14:14:23.6, 57.150, -5.300, 3.7, 1.5, , , ," GLENSHIEL,HIGHLAND "
1982-04-02, 20:40:33.5, 53.150, -1.000, 5.0, 1.7, , , ," EAKRING,NOTTS "
1982-04-03, 03:59:41.1, 55.850, -3.140, 0.6, 0.8, , , ," ROSEWELL,LOTHIAN "
1982-04-04, 21:43:46.3, 51.990, -3.470, 5.0, 2.6, , , ," PONT-FAEN,POWYS "
1982-04-05, 14:01:34.4, 55.140, -2.790, 5.0, 1.6, , , ," KERSHOPE FOREST,CUM "
1982-04-05, 15:41:44.7, 56.140, -3.610, 0.4, 0.5, , , ," BLACK DEVON,FIFE "
1982-04-07, 15:43:38.3, 56.120, -3.640, 4.5, 0.7, , , ," BLACK DEVON,FIFE "
1982-04-09, 14:36:04.3, 53.060, -2.220, 0.0, 2.7, , , 2+ ," STOKE-ON-TRENT "
1982-04-12, 14:35:54.5, 56.100, -3.660, 1.1, 1.1, , , ," BLACK DEVON,FIFE "
1982-04-14, 15:19:39.8, 56.110, -3.680, 5.0, 0.9, , , ," BLACK DEVON,FIFE "
1982-04-15, 23:13:21.9, 56.050, -3.690, 5.0, 1.5, , , ," KINCARDINE,FIFE "
1982-04-19, 09:49:29.6, 59.340, 3.700, 1.0, 2.9, , , ," NORTH SEA "
1982-04-22, 00:04:31.0, 61.700, 5.000, , 2.2, , , ," NORWEGIAN COAST "
1982-04-22, 14:01:34.0, 55.230, -2.840, 1.1, 1.0, , , ," NE OF LANGHOLM,DUM&GA "
1982-04-24, 02:45:59.9, 55.860, -3.140, 0.3, 1.6, , , 2+ ," ROSLIN,LOTHIAN "
1982-04-26, 14:29:45.9, 54.410, -2.550, 5.0, 1.9, , , ," SE OF TEBAY,CUMBRIA "
1982-04-27, 05:23:48.6, 55.130, -4.270, 9.5, 0.8, , , ," LOCH DUNGEON,DUM&GA "
1982-04-28, 14:16:29.4, 55.110, -2.930, 4.1, 1.4, , , ," CANONBIE,DUMFRIES&GAL "
1982-05-08, 14:32:08.8, 55.550, -1.820, 1.0, 1.8, , , ," WARENFORD,N`UMBERLAND "
1982-05-10, 13:34:04.8, 55.140, -2.810, 1.0, 1.4, , , ," KERSHOPE FOREST,CUM "
1982-05-10, 21:27:23.0, 59.900, 5.000, , 2.2, , , ," NORWEGIAN COAST "
1982-05-11, 10:44:30.2, 53.550, 0.990, 5.0, 2.3, , , ," OFF MABLETHORPE,LINCS "
1982-05-14, 02:10:38.5, 53.170, -0.940, 5.0, 1.4, , , ," KNEESALL,NOTTS "
1982-05-14, 07:46:28.7, 51.640, -2.730, 20.0, 0.8, , , ," E OF CHEPSTOW,GWENT "
1982-05-17, 11:29:38.5, 56.250, -3.160, 1.0, 0.7, , , ," MUIRHEAD,FIFE "
1982-05-25, 07:02:38.3, 61.010, 3.610, 36.4, 2.3, , , ," NORTH SEA "
1982-05-28, 03:24:42.1, 55.010, -2.900, 0.5, 1.0, , , ," E OF LONGTOWN,CUMBRIA "
1982-05-30, 01:02:40.2, 62.390, 3.220, 15.0, 2.8, , , ," NORTH SEA "
1982-05-30, 05:30:28.7, 62.260, 2.110, 32.2, 2.7, , , ," NORTH SEA "
1982-06-07, 12:00:07.2, 57.230, -3.790, 0.5, 0.8, , , ," AVIEMORE,HIGHLAND "
1982-06-10, 15:55:41.8, 56.140, -3.630, 1.0, 0.6, , , ," BLACK DEVON,FIFE "
1982-06-10, 18:08:58.1, 55.940, -3.100, 2.3, 0.6, , , ," EDINBURGH "
1982-06-10, 20:09:39.9, 56.470, -4.140, 3.8, 0.5, , , ," S OF L TAY,TAYSIDE "
1982-06-11, 00:29:03.9, 56.600, 3.240, 21.7, 2.7, , , ," NORTH SEA "
1982-06-11, 10:26:43.2, 56.110, -3.650, 0.7, 1.2, , , ," BLACK DEVON,FIFE "
1982-06-12, 20:18:53.5, 55.110, -2.920, 1.0, 0.9, , , ," SE OF LANGHOLM,DUM&GA "
1982-06-13, 02:20:13.6, 54.500, -2.780, 1.0, 1.3, , , ," HAWESWATER RESR,CUM "
1982-06-14, 15:59:55.7, 56.100, -3.640, 3.1, 0.7, , , ," BLACK DEVON,FIFE "
1982-07-01, 07:29:01.0, 60.100, 4.800, , 2.6, , , ," NORWEGIAN COAST "
1982-07-02, 03:38:31.3, 53.640, -1.020, 0.5, 1.9, , , ," SYKEHOUSE,SOUTH YORK "
1982-07-06, 06:20:32.2, 57.370, -5.730, 3.1, 1.3, , , ," NR L CARRON,HIGHLAND "
1982-07-06, 15:33:03.1, 56.190, -5.460, 5.0, 1.4, , , ," SOUTH LOCH AWE,STRATH "
1982-07-14, 15:46:40.2, 56.130, -3.630, 0.9, 0.3, , , ," BLACK DEVON,FIFE "
1982-07-19, 13:33:52.2, 51.180, -1.060, 1.4, 3.0, , , 4+ ," NR BASINGSTOKE,HANTS "
1982-07-26, 06:58:54.7, 59.610, 2.200, 20.1, 2.0, , , ," NORTH SEA "
1982-07-28, 07:39:11.4, 61.500, 2.300, , 1.8, , , ," NORTH SEA "
1982-07-28, 16:05:12.3, 59.640, 2.140, 22.6, 2.3, , , ," NORTH SEA "
1982-07-28, 16:55:16.0, 59.900, 2.300, , 2.2, , , ," NORTH SEA "
1982-07-29, 00:17:04.4, 60.520, 1.990, 26.5, 4.8, , , ," NORTH SEA "
1982-07-29, 22:49:34.0, 62.000, 2.920, , 1.9, , , ," NORTH SEA "
1982-08-07, 01:41:57.0, 55.800, -3.130, 13.4, 0.2, , , ," E OF PENICUIK,LOTHIAN "
1982-08-09, 11:25:05.8, 53.000, -3.940, 8.4, 2.6, , , 3+ ," BLANEAU FFEST.,GWYNEDD "
1982-08-13, 07:28:38.5, 55.870, -3.120, 0.1, 1.0, , , ," POLTON,LOTHIAN "
1982-08-20, 12:19:08.9, 56.810, -4.870, 0.0, 1.5, , , ," BEN NEVIS,HIGHLAND "
1982-08-24, 01:01:57.7, 55.850, -3.140, 0.6, 0.6, , , ," ROSEWELL,LOTHIAN "
1982-09-16, 06:07:44.7, 57.300, -5.010, 0.1, 2.0, , , 2+ ," W OF CANNICH,HIGHLAND "
1982-09-17, 20:01:29.0, 55.850, -3.120, 0.4, 0.9, , , ," ROSEWELL,LOTHIAN "
1982-09-25, 05:01:05.0, 51.670, -6.030, , 1.1, , , ," CELTIC SEA "
1982-09-25, 22:05:21.7, 59.630, 1.270, 15.0, 1.3, , , ," NORTH SEA "
1982-09-29, 16:37:36.2, 55.440, -1.600, 0.1, 1.7, , , ," LONGHOUGHTON,N`UMBER "
1982-10-08, 05:56:37.4, 55.850, -3.120, 2.5, 0.8, , , ," ROSEWELL,LOTHIAN "
1982-10-11, 17:51:42.5, 55.850, -3.120, 0.7, 0.6, , , ," ROSEWELL,LOTHIAN "
1982-10-14, 06:26:23.3, 55.850, -3.140, 0.7, 1.4, , , 2+ ," ROSEWELL,LOTHIAN "
1982-10-16, 03:31:00.0, 53.400, -5.800, , 0.5, , , ," KISH BASIN "
1982-10-21, 23:49:27.4, 55.850, -3.120, 0.4, 1.1, , , ," ROSEWELL,LOTHIAN "
1982-10-24, 16:28:27.0, 53.380, -5.750, , 1.5, , , ," KISH BASIN "
1982-10-27, 23:57:33.6, 57.230, -5.460, 2.5, 3.0, , , 4+ ," RATAGAN FOREST,HIGH "
1982-10-28, 00:08:02.8, 57.230, -5.480, 5.0, 1.5, , , ," RATAGAN FOREST,HIGH "
1982-10-30, 15:01:18.7, 55.850, -3.120, 0.5, 1.1, , , ," ROSEWELL,LOTHIAN "
1982-11-02, 09:45:07.0, 60.300, 4.600, , 2.4, , , ," NORWEGIAN COAST "
1982-11-03, 12:32:39.7, 54.680, -2.250, 5.0, 1.4, , , ," LANGDON BECK,DURHAM "
